ACCOUNT,GL_L1,GL_L2,GL_L3,ITFM_CATEGORY
643000,02. Total Overhead Costs,07. Total Materials,Software Expense,10 - Software Expense
644000,02. Total Overhead Costs,07. Total Materials,Software Expense - Midrange/,10 - Software Expense
644071,02. Total Overhead Costs,07. Total Materials,AS/400 APPLN SOFTWARE,10 - Software Expense
644072,02. Total Overhead Costs,07. Total Materials,SOFTWARE-MOD'S AS/400,10 - Software Expense
644073,02. Total Overhead Costs,07. Total Materials,SOFTWARE-YEARLY MAINT,10 - Software Expense
644074,02. Total Overhead Costs,07. Total Materials,Computer Hardware QSMS,10 - Software Expense
644075,02. Total Overhead Costs,07. Total Materials,PC Software,10 - Software Expense
644076,02. Total Overhead Costs,07. Total Materials,Sistem Maintenance,NO IDENTIFICADO
646000,02. Total Overhead Costs,07. Total Materials,Software Expense - Network,10 - Software Expense
646070,02. Total Overhead Costs,07. Total Materials,SOFTWARE-MICRO NETWORK,10 - Software Expense
647000,02. Total Overhead Costs,07. Total Materials,Comm Equip Exp,14 - Communications Equipment
647502,02. Total Overhead Costs,07. Total Materials,Storage Cloud Service,11 - Cloud/Hosting Expense
647005,02. Total Overhead Costs,07. Total Materials,Equipment Lease/Purchase,14 - Communications Equipment
652028,02. Total Overhead Costs,07. Total Materials,RESEARCH MATERIALS,27 - Other Expenses
653000,02. Total Overhead Costs,07. Total Materials,M&R-Third Party,16 - Maintenance & Repairs Other
654000,02. Total Overhead Costs,07. Total Materials,M&R-Equipment,15 - Maintenance & Repairs IT
654071,02. Total Overhead Costs,07. Total Materials,ROUTINE MAINT 100 HOURS,16 - Maintenance & Repairs Other
654072,02. Total Overhead Costs,07. Total Materials,MAJOR OVERHAUL,16 - Maintenance & Repairs Other
655000,02. Total Overhead Costs,07. Total Materials,M&R-Vehicles,16 - Maintenance & Repairs Other
655062,02. Total Overhead Costs,07. Total Materials,MAJOR M & R-VEHICLES,16 - Maintenance & Repairs Other
656000,02. Total Overhead Costs,07. Total Materials,M&R-Plant & Building,16 - Maintenance & Repairs Other
656001,02. Total Overhead Costs,07. Total Materials,M&R-Torre Mercedes,16 - Maintenance & Repairs Other
656055,02. Total Overhead Costs,07. Total Materials,M&R-Plant,16 - Maintenance & Repairs Other
656099,02. Total Overhead Costs,07. Total Materials,M&R-Plant & Building,16 - Maintenance & Repairs Other
656098,02. Total Overhead Costs,07. Total Materials,M&R-Plant & Building,NO IDENTIFICADO
661000,02. Total Overhead Costs,07. Total Materials,M&R-Computer&Communication,15 - Maintenance & Repairs IT
661099,02. Total Overhead Costs,07. Total Materials,M&R-Computer&Communication,15 - Maintenance & Repairs IT
662000,02. Total Overhead Costs,07. Total Materials,M&R-Other,16 - Maintenance & Repairs Other
662099,02. Total Overhead Costs,07. Total Materials,MAINTENANCE AND REPAIRS,16 - Maintenance & Repairs Other
680001,02. Total Overhead Costs,07. Total Materials,VESSEL COSTS - BANN,NO IDENTIFICADO
700000,02. Total Overhead Costs,07. Total Materials,Utilities Expense,27 - Other Expenses
701000,02. Total Overhead Costs,07. Total Materials,Utilities Exp-Power,27 - Other Expenses
785074,02. Total Overhead Costs,07. Total Materials,FUEL AND LUBRICANTS,27 - Other Expenses
637019,02. Total Overhead Costs,07. Total Materials,Office Supplies,NO IDENTIFICADO
633010,02. Total Overhead Costs,07. Total Materials,Diesel,09 - Gasoline
637013,02. Total Overhead Costs,07. Total Materials,Disp. de Almacén Eléctrico,06 - Office Supplies
641011,02. Total Overhead Costs,07. Total Materials,Hardware Expense - PC's,11 - Hardware Expense
647010,02. Total Overhead Costs,07. Total Materials,Comm. Equipment Expense,14 - Communications Equipment
662014,02. Total Overhead Costs,07. Total Materials,Mantenimiento y Reparación,16 - Maintenance & Repairs Other
782012,02. Total Overhead Costs,07. Total Materials,Equipo no Capitalizable,27 - Other Expenses
782013,02. Total Overhead Costs,07. Total Materials,Furniture & Fixtures no Cap.,27 - Other Expenses
654010,02. Total Overhead Costs,07. Total Materials,M&R-Equipment,15 - Maintenance & Repairs IT
637004,02. Total Overhead Costs,07. Total Materials,Magnetic Cards,06 - Office Supplies
652021,02. Total Overhead Costs,07. Total Materials,Materiales y Suministros Varios,27 - Other Expenses
652013,02. Total Overhead Costs,07. Total Materials,Ajustes Inv. Fisico Audt.,27 - Other Expenses
656002,02. Total Overhead Costs,07. Total Materials,DFFI Remodelaciones,NO IDENTIFICADO
642002,02. Total Overhead Costs,07. Total Materials,Hardware Expense - AS/400,11 - Hardware Expense
640001,02. Total Overhead Costs,07. Total Materials,Hrdwr Exp-Midrng/Mainfrm,11 - Hardware Expense
646002,02. Total Overhead Costs,07. Total Materials,Software Maintenance,10 - Software Expense
654012,02. Total Overhead Costs,07. Total Materials,M&R-Equipment,15 - Maintenance & Repairs IT
654013,02. Total Overhead Costs,07. Total Materials,M&R-Equipment Non Deduc,15 - Maintenance & Repairs IT
646001,02. Total Overhead Costs,07. Total Materials,Software Expense - Network,10 - Software Expense
617001,02. Total Overhead Costs,07. Total Materials,Other Pack Materials,27 - Other Expenses
645001,02. Total Overhead Costs,07. Total Materials,Software Expense,10 - Software Expense
637025,02. Total Overhead Costs,07. Total Materials,Other Office Supplies,06 - Office Supplies
656003,02. Total Overhead Costs,07. Total Materials,DFFI Remodelaciones,NO IDENTIFICADO
641012,02. Total Overhead Costs,07. Total Materials,Equipment Supplies,11 - Hardware Expense
641013,02. Total Overhead Costs,07. Total Materials,Equipment Supplies,NO IDENTIFICADO
652017,02. Total Overhead Costs,07. Total Materials,Ajustes In. Físico,27 - Other Expenses
644070,02. Total Overhead Costs,07. Total Materials,HFM Licenses,10 - Software Expense
652010,02. Total Overhead Costs,07. Total Materials,Ajustes Generales de Inventario,27 - Other Expenses
785077,02. Total Overhead Costs,07. Total Materials,FUEL AND LUBRICANTS non deductable,27 - Other Expenses
630026,02. Total Overhead Costs,07. Total Materials,M&R Structure,16 - Maintenance & Repairs Other
634001,02. Total Overhead Costs,07. Total Materials,Gasoline Fuel Expenses,NO IDENTIFICADO
647501,02. Total Overhead Costs,07. Total Materials,Cloud Hosting services,11 - Cloud/Hosting Expense
647002,02. Total Overhead Costs,07. Total Materials,Equipment Purchased,14 - Communications Equipment
652031,02. Total Overhead Costs,07. Total Materials,Chemical Rebates,27 - Other Expenses
644069,02. Total Overhead Costs,07. Total Materials,Software licenses,10 - Software Expense
644002,02. Total Overhead Costs,07. Total Materials,Software Expenses,10 - Software Expense
630000,02. Total Overhead Costs,07. Total Materials,Maintenance & Repair,NO IDENTIFICADO
634000,02. Total Overhead Costs,07. Total Materials,Gasoline Fuel Expenses,NO IDENTIFICADO
640000,02. Total Overhead Costs,07. Total Materials,Hrdwr Exp-Midrng/Mainfrm,NO IDENTIFICADO
641000,02. Total Overhead Costs,07. Total Materials,Hardware Expense - PC's,11 - Hardware Expense
642000,02. Total Overhead Costs,07. Total Materials,Hardware Expense - Network,NO IDENTIFICADO
645000,02. Total Overhead Costs,07. Total Materials,Software Expense - PC,NO IDENTIFICADO
652000,02. Total Overhead Costs,07. Total Materials,Misc. Materials Cost,27 - Other Expenses
643001,02. Total Overhead Costs,07. Total Materials,Software Expense,10 - Software Expense
637023,02. Total Overhead Costs,07. Total Materials,School Supplies,06 - Office Supplies
782005,02. Total Overhead Costs,08. Subscriptions,08. Subscriptions,03 - Dues & Suscriptions
785013,02. Total Overhead Costs,08. Subscriptions,DUES & 08. Subscriptions,03 - Dues & Suscriptions
785014,02. Total Overhead Costs,08. Subscriptions,DUES & 08. Subscriptions,NO IDENTIFICADO
782015,02. Total Overhead Costs,08. Subscriptions,08. Subscriptions,03 - Dues & Suscriptions
711000,02. Total Overhead Costs,09. Consultant Fees,09. Consultant Fees,21 - Consultant Fees
711010,02. Total Overhead Costs,09. Consultant Fees,CONSULTANTS,21 - Consultant Fees
712000,02. Total Overhead Costs,09. Consultant Fees,Audit Fees,23 - Other Professional Services
712005,02. Total Overhead Costs,09. Consultant Fees,AUDIT FEES,23 - Other Professional Services
712006,02. Total Overhead Costs,09. Consultant Fees,AUDIT FEES,NO IDENTIFICADO
713000,02. Total Overhead Costs,09. Consultant Fees,Legal Fees,23 - Other Professional Services
713003,02. Total Overhead Costs,09. Consultant Fees,OUTSIDE LEGAL FEES,23 - Other Professional Services
714000,02. Total Overhead Costs,09. Consultant Fees,Other Professional Services,23 - Other Professional Services
782098,02. Total Overhead Costs,09. Consultant Fees,Outside Legal Cost Allocated,23 - Other Professional Services
785088,02. Total Overhead Costs,09. Consultant Fees,DBCP Outside Legal Allocated,23 - Other Professional Services
711011,02. Total Overhead Costs,09. Consultant Fees,09. Consultant Fees,21 - Consultant Fees
713011,02. Total Overhead Costs,09. Consultant Fees,LEGAL FEES,23 - Other Professional Services
714012,02. Total Overhead Costs,09. Consultant Fees,Other Professional Services,23 - Other Professional Services
713002,02. Total Overhead Costs,09. Consultant Fees,Legal/Acct. Expense,23 - Other Professional Services
785051,02. Total Overhead Costs,09. Consultant Fees,DBCP Transfruit charge,23 - Other Professional Services
713004,02. Total Overhead Costs,09. Consultant Fees,DUK RESTRUCTURE OUT. LEGAL FEES,23 - Other Professional Services
714001,02. Total Overhead Costs,09. Consultant Fees,Other Professional Services,23 - Other Professional Services
713006,02. Total Overhead Costs,09. Consultant Fees,Legal Fees Litigation,23 - Other Professional Services
704000,02. Total Overhead Costs,10. Communications Services,Communications Expense,14 - Communications Equipment
705000,02. Total Overhead Costs,10. Communications Services,Lease Lines Comm Exp,12 - Lease lines
705002,02. Total Overhead Costs,10. Communications Services,Internet connections,12 - Lease lines
705005,02. Total Overhead Costs,10. Communications Services,Lease Lines,12 - Lease lines
706000,02. Total Overhead Costs,10. Communications Services,Usage Communications Expense,14 - Communications Equipment
706500,02. Total Overhead Costs,10. Communications Services,Telephone Usage Communicatio,07 - Telephone Usage
706510,02. Total Overhead Costs,10. Communications Services,TELEPHONE,07 - Telephone Usage
706511,02. Total Overhead Costs,10. Communications Services,DEDICATED PHONE LINE,07 - Telephone Usage
706512,02. Total Overhead Costs,10. Communications Services,FAX LINES,07 - Telephone Usage
706513,02. Total Overhead Costs,10. Communications Services,TELEX,07 - Telephone Usage
706514,02. Total Overhead Costs,10. Communications Services,ELECTRONIC MAIL BOX,07 - Telephone Usage
706515,02. Total Overhead Costs,10. Communications Services,BEEPERS,07 - Telephone Usage
706516,02. Total Overhead Costs,10. Communications Services,CALLING CARDS,07 - Telephone Usage
706520,02. Total Overhead Costs,10. Communications Services,RADIOS,13 - Radio Usage
706521,02. Total Overhead Costs,10. Communications Services,CABLE TV CONNECTION,27 - Other Expenses
706540,02. Total Overhead Costs,10. Communications Services,PRISM DATA COMM,27 - Other Expenses
707000,02. Total Overhead Costs,10. Communications Services,Cellular Usage Communication,08 - Cellular Usage
707015,02. Total Overhead Costs,10. Communications Services,CELLULAR TELEPHONES,08 - Cellular Usage
710000,02. Total Overhead Costs,10. Communications Services,Service Costs,27 - Other Expenses
705003,02. Total Overhead Costs,10. Communications Services,Lease Lines Frame Relay,12 - Lease lines
705006,02. Total Overhead Costs,10. Communications Services,Lease Lines Internet,12 - Lease lines
705007,02. Total Overhead Costs,10. Communications Services,Lease Lines E-mail,12 - Lease lines
705001,02. Total Overhead Costs,10. Communications Services,Lease Lines Satellites,12 - Lease lines
705004,02. Total Overhead Costs,10. Communications Services,Lease Lines Dial Up,12 - Lease lines
714005,02. Total Overhead Costs,11. Contracts and Other Services,Other Profess Services,23 - Other Professional Services
714014,02. Total Overhead Costs,11. Contracts and Other Services,P/R and Benefits Admin,23 - Other Professional Services
714017,02. Total Overhead Costs,11. Contracts and Other Services,RECORD RETENTION,23 - Other Professional Services
737074,02. Total Overhead Costs,11. Contracts and Other Services,MAINTENANCE FEE TORRE MERCEDES,27 - Other Expenses
575501,02. Total Overhead Costs,11. Contracts and Other Services,Local Support Cost,27 - Other Expenses
737006,02. Total Overhead Costs,11. Contracts and Other Services,Agent Computer Services,27 - Other Expenses
703002,02. Total Overhead Costs,11. Contracts and Other Services,Security Services,27 - Other Expenses
737079,02. Total Overhead Costs,11. Contracts and Other Services,TM DEF CHARGES AMORT,NO IDENTIFICADO
737084,02. Total Overhead Costs,11. Contracts and Other Services,HR Payroll Services,27 - Other Expenses
737086,02. Total Overhead Costs,11. Contracts and Other Services,Honduras Operations,27 - Other Expenses
737034,02. Total Overhead Costs,11. Contracts and Other Services,Maintenance Fee,NO IDENTIFICADO
737026,02. Total Overhead Costs,11. Contracts and Other Services,Technical Fee Services,27 - Other Expenses
737087,02. Total Overhead Costs,11. Contracts and Other Services,SR Contributions,27 - Other Expenses
737094,02. Total Overhead Costs,11. Contracts and Other Services,Licenses HR,27 - Other Expenses
737022,02. Total Overhead Costs,11. Contracts and Other Services,PICK UP CHARGES,27 - Other Expenses
737000,02. Total Overhead Costs,11. Contracts and Other Services,Other Services Costs,27 - Other Expenses
509010,02. Total Overhead Costs,12. Rentals,Intercompany Office Rent,25 - Other I/C Costs
740000,02. Total Overhead Costs,12. Rentals,Rental Expense,20 - Other Rentals
740100,02. Total Overhead Costs,12. Rentals,Rental Expense - Real Proper,14 - Communications Equipment
741500,02. Total Overhead Costs,12. Rentals,Other Real Property Rental E,20 - Other Rentals
741512,02. Total Overhead Costs,12. Rentals,HANGER RENTAL,20 - Other Rentals
742000,02. Total Overhead Costs,12. Rentals,Office Rental Expense,20 - Other Rentals
742010,02. Total Overhead Costs,12. Rentals,RENT-OFFICES,20 - Other Rentals
742301,02. Total Overhead Costs,12. Rentals,RENT-OFFICES,NO IDENTIFICADO
742302,02. Total Overhead Costs,12. Rentals,RENT-OFFICES,20 - Other Rentals
742304,02. Total Overhead Costs,12. Rentals,Rev GAAP Equipment,NO IDENTIFICADO
744000,02. Total Overhead Costs,12. Rentals,Rental Expense - Personal Pr,20 - Other Rentals
744500,02. Total Overhead Costs,12. Rentals,Equipment Rental Exp,20 - Other Rentals
744510,02. Total Overhead Costs,12. Rentals,RENT-EQUIPMENT,20 - Other Rentals
745000,02. Total Overhead Costs,12. Rentals,Vehicle Rental Exp,20 - Other Rentals
745005,02. Total Overhead Costs,12. Rentals,Vehicle Rental Exp,20 - Other Rentals
745510,02. Total Overhead Costs,12. Rentals,Computer Rental Exp,18 - Computer Rental
746000,02. Total Overhead Costs,12. Rentals,Comm Rental Exp,NO IDENTIFICADO
746005,02. Total Overhead Costs,12. Rentals,Comm Rental Exp,NO IDENTIFICADO
749500,02. Total Overhead Costs,12. Rentals,Other Personal Property Rent,20 - Other Rentals
749599,02. Total Overhead Costs,12. Rentals,RENTAL INCOME,20 - Other Rentals
744511,02. Total Overhead Costs,12. Rentals,RENT- EQUIPMENT,20 - Other Rentals
745010,02. Total Overhead Costs,12. Rentals,Vehicle Rental Exp,20 - Other Rentals
745011,02. Total Overhead Costs,12. Rentals,Vehicle Rental Exp,20 - Other Rentals
749512,02. Total Overhead Costs,12. Rentals,Alquiler - Estacionamiento,20 - Other Rentals
703001,02. Total Overhead Costs,12. Rentals,Plants Leases,27 - Other Expenses
745501,02. Total Overhead Costs,12. Rentals,Computer Lease Server,18 - Computer Rental
745504,02. Total Overhead Costs,12. Rentals,Hardware Lease Telecommunications,18 - Computer Rental
745012,02. Total Overhead Costs,12. Rentals,Vehicle Rental Exp Non Deductable,20 - Other Rentals
741002,02. Total Overhead Costs,12. Rentals,WHRSE & FACIL RENT,NO IDENTIFICADO
745502,02. Total Overhead Costs,12. Rentals,Hardware Lease Teleco,18 - Computer Rental
744501,02. Total Overhead Costs,12. Rentals,Equipment Rental,20 - Other Rentals
744601,02. Total Overhead Costs,12. Rentals,Equipment Rental,18 - Computer Rental
744701,02. Total Overhead Costs,12. Rentals,Equipment Rental,20 - Other Rentals
744801,02. Total Overhead Costs,12. Rentals,Equipment Rental Var,18 - Computer Rental
744803,02. Total Overhead Costs,12. Rentals,Equipment Rental Var,18 - Computer Rental
744807,02. Total Overhead Costs,12. Rentals,Rev GAAP Equipment,NO IDENTIFICADO
742011,02. Total Overhead Costs,12. Rentals,RENT-OFFICES OP lea,NO IDENTIFICADO
745500,02. Total Overhead Costs,12. Rentals,Computer Rental Expense,18 - Computer Rental
745009,02. Total Overhead Costs,12. Rentals,Airplane - Rental,NO IDENTIFICADO
738002,02. Total Overhead Costs,12. Rentals,Rental Expense not Cap.,18 - Computer Rental
738001,02. Total Overhead Costs,12. Rentals,Car Rental not Cap.,27 - Other Expenses
739101,02. Total Overhead Costs,12. Rentals,OpertLease ROU AssetAm,27 - Other Expenses
738040,02. Total Overhead Costs,12. Rentals,Rental GAAP Reversal,27 - Other Expenses
738041,02. Total Overhead Costs,12. Rentals,Rental GAAP Reversal,NO IDENTIFICADO
739201,02. Total Overhead Costs,12. Rentals,Oper. Lease ROU Asset,27 - Other Expenses
738003,02. Total Overhead Costs,12. Rentals,Estate 12. Rentals,17 - Equipment Rental
738004,02. Total Overhead Costs,12. Rentals,Estate 12. Rentals,20 - Other Rentals
738006,02. Total Overhead Costs,12. Rentals,Rental Equipment,17 - Equipment Rental
738030,02. Total Overhead Costs,12. Rentals,Lease Reversal,NO IDENTIFICADO
742030,02. Total Overhead Costs,12. Rentals,Lease Reversal,NO IDENTIFICADO
745030,02. Total Overhead Costs,12. Rentals,Lease Reversal,NO IDENTIFICADO
738050,02. Total Overhead Costs,12. Rentals,Lease Reversal,NO IDENTIFICADO
701005,02. Total Overhead Costs,13. Public Services,ELECTR/BUILDING,27 - Other Expenses
702000,02. Total Overhead Costs,13. Public Services,Utilities Exp-Water,27 - Other Expenses
702005,02. Total Overhead Costs,13. Public Services,Utilities Exp-Water,27 - Other Expenses
703000,02. Total Overhead Costs,13. Public Services,Utilities Expense - Other,27 - Other Expenses
703099,02. Total Overhead Costs,13. Public Services,BUILDING OPERATING EXP,27 - Other Expenses
756000,02. Total Overhead Costs,14. Taxes & Utilities,Taxes Other Than Income,27 - Other Expenses
756500,02. Total Overhead Costs,14. Taxes & Utilities,Property Tax Expense,27 - Other Expenses
756509,02. Total Overhead Costs,14. Taxes & Utilities,PROPERTY TAXES,27 - Other Expenses
757500,02. Total Overhead Costs,14. Taxes & Utilities,Net Worth/Franchise Tax Expe,NO IDENTIFICADO
757599,02. Total Overhead Costs,14. Taxes & Utilities,STATE FRANCHISE TAXES,NO IDENTIFICADO
758500,02. Total Overhead Costs,14. Taxes & Utilities,Other Tax Expensese,27 - Other Expenses
758503,02. Total Overhead Costs,14. Taxes & Utilities,Foreign remittance,27 - Other Expenses
758505,02. Total Overhead Costs,14. Taxes & Utilities,Other Local Taxes,27 - Other Expenses
782002,02. Total Overhead Costs,14. Taxes & Utilities,DUTIES,27 - Other Expenses
782026,02. Total Overhead Costs,14. Taxes & Utilities,LANDING FEES,27 - Other Expenses
782042,02. Total Overhead Costs,14. Taxes & Utilities,VEHICLE DUTIES,27 - Other Expenses
758504,02. Total Overhead Costs,14. Taxes & Utilities,Patent Protection,27 - Other Expenses
756502,02. Total Overhead Costs,14. Taxes & Utilities,Timbre de Educación,NO IDENTIFICADO
758502,02. Total Overhead Costs,14. Taxes & Utilities,Timbres Fiscales,NO IDENTIFICADO
758507,02. Total Overhead Costs,14. Taxes & Utilities,Imp.Renta Capital Mob,NO IDENTIFICADO
782044,02. Total Overhead Costs,14. Taxes & Utilities,PROCOMER CANON,27 - Other Expenses
758511,02. Total Overhead Costs,14. Taxes & Utilities,CR Non Deductable Expenses,NO IDENTIFICADO
782069,02. Total Overhead Costs,14. Taxes & Utilities,PROCOMER CANNON ALLOCATION,27 - Other Expenses
714011,02. Total Overhead Costs,14. Taxes & Utilities,Tax Services,27 - Other Expenses
785006,02. Total Overhead Costs,14. Taxes & Utilities,Sales Taxes,27 - Other Expenses
758514,02. Total Overhead Costs,14. Taxes & Utilities,Impuesto Traspaso Vehículos,NO IDENTIFICADO
758508,02. Total Overhead Costs,14. Taxes & Utilities,Patente Municipal,NO IDENTIFICADO
758516,02. Total Overhead Costs,14. Taxes & Utilities,Interes ISR,27 - Other Expenses
758506,02. Total Overhead Costs,14. Taxes & Utilities,IVA Expenses,27 - Other Expenses
761018,02. Total Overhead Costs,15. Travel Expenses,Crew Expense,NO IDENTIFICADO
637030,02. Total Overhead Costs,15. Travel Expenses,SUPPLIES-FOOD & DRINKS,05 - Travel & Meals Expenses
760000,02. Total Overhead Costs,15. Travel Expenses,Travel and Entertainment Exp,05 - Travel & Meals Expenses
761000,02. Total Overhead Costs,15. Travel Expenses,Travel Expense,05 - Travel & Meals Expenses
761010,02. Total Overhead Costs,15. Travel Expenses,15. Travel Expenses,05 - Travel & Meals Expenses
761015,02. Total Overhead Costs,15. Travel Expenses,T&E travel agency,05 - Travel & Meals Expenses
761020,02. Total Overhead Costs,15. Travel Expenses,TRAVEL AND ENTERTAINMENT-OTHER,05 - Travel & Meals Expenses
762000,02. Total Overhead Costs,15. Travel Expenses,Per Diem Exp,NO IDENTIFICADO
763000,02. Total Overhead Costs,15. Travel Expenses,Meals Exp,05 - Travel & Meals Expenses
763010,02. Total Overhead Costs,15. Travel Expenses,Meals Exp,05 - Travel & Meals Expenses
764000,02. Total Overhead Costs,15. Travel Expenses,Entertainment Exp,05 - Travel & Meals Expenses
764010,02. Total Overhead Costs,15. Travel Expenses,Entertainment Exp QSMS,05 - Travel & Meals Expenses
782066,02. Total Overhead Costs,15. Travel Expenses,MEETING EXPENSES,05 - Travel & Meals Expenses
761011,02. Total Overhead Costs,15. Travel Expenses,T&E Travel Agency,05 - Travel & Meals Expenses
761012,02. Total Overhead Costs,15. Travel Expenses,15. Travel Expenses Non Deductables,NO IDENTIFICADO
763011,02. Total Overhead Costs,15. Travel Expenses,Meals Expenses Non Deductable,05 - Travel & Meals Expenses
761016,02. Total Overhead Costs,15. Travel Expenses,T&E travel Non Deductable,05 - Travel & Meals Expenses
761017,02. Total Overhead Costs,15. Travel Expenses,NO DEDUCIBLE TRAVEL,05 - Travel & Meals Expenses
761013,02. Total Overhead Costs,15. Travel Expenses,Rent a Car Expenses,05 - Travel & Meals Expenses
763012,02. Total Overhead Costs,15. Travel Expenses,Meals Expenses Subsidy,05 - Travel & Meals Expenses
763013,02. Total Overhead Costs,15. Travel Expenses,Reembolso Comedor,02 - Other Employee Benefits & Costs
761006,02. Total Overhead Costs,15. Travel Expenses,PARQUEO,27 - Other Expenses
761001,02. Total Overhead Costs,15. Travel Expenses,Rental Car Expenses,27 - Other Expenses
782065,02. Total Overhead Costs,16. Training Expenses,CONVENTIONS/CONFERENCES,04 - Training Expenses
587011,02. Total Overhead Costs,16. Training Expenses,Education and Training,04 - Training Expenses
790000,02. Total Overhead Costs,17. Insurance Expenses,Insurance,27 - Other Expenses
797001,02. Total Overhead Costs,17. Insurance Expenses,Aviation Insurance,NO IDENTIFICADO
790500,02. Total Overhead Costs,17. Insurance Expenses,Property Insurance,27 - Other Expenses
790510,02. Total Overhead Costs,17. Insurance Expenses,Insurance Allocation,27 - Other Expenses
790502,02. Total Overhead Costs,17. Insurance Expenses,Property Insurance,NO IDENTIFICADO
791500,02. Total Overhead Costs,17. Insurance Expenses,Vehicle Insurance,27 - Other Expenses
791510,02. Total Overhead Costs,17. Insurance Expenses,AUTOMOBILE INSURANCE,27 - Other Expenses
799500,02. Total Overhead Costs,17. Insurance Expenses,Other Insurance,27 - Other Expenses
799501,02. Total Overhead Costs,17. Insurance Expenses,Other Insurance,02 - Other Employee Benefits & Costs
790501,02. Total Overhead Costs,17. Insurance Expenses,Property Insurance,27 - Other Expenses
792001,02. Total Overhead Costs,17. Insurance Expenses,Master Casualty,27 - Other Expenses
754000,02. Total Overhead Costs,18. Other Expenses,Gain/Loss on Sale of Assets,27 - Other Expenses
754005,02. Total Overhead Costs,18. Other Expenses,Gain/Loss on Sale of Assets,27 - Other Expenses
770000,02. Total Overhead Costs,18. Other Expenses,Other Administrative Costs,27 - Other Expenses
771000,02. Total Overhead Costs,18. Other Expenses,Donations and Contributions,27 - Other Expenses
771500,02. Total Overhead Costs,18. Other Expenses,Cash Don & Contr,27 - Other Expenses
772000,02. Total Overhead Costs,18. Other Expenses,Chartbl Cash Don&Contr,27 - Other Expenses
772005,02. Total Overhead Costs,18. Other Expenses,Chartbl Cash Don&Contr,27 - Other Expenses
773500,02. Total Overhead Costs,18. Other Expenses,Non-Cash Donations and Contr,27 - Other Expenses
775000,02. Total Overhead Costs,18. Other Expenses,Other Non-Cash Donations and,27 - Other Expenses
775099,02. Total Overhead Costs,18. Other Expenses,EDUCATIONAL GIFT MATCH,27 - Other Expenses
777000,02. Total Overhead Costs,18. Other Expenses,Other Product Donations and,27 - Other Expenses
777099,02. Total Overhead Costs,18. Other Expenses,CONTRIBUTIONS,27 - Other Expenses
778000,02. Total Overhead Costs,18. Other Expenses,Postage and Courier Expense,27 - Other Expenses
778094,02. Total Overhead Costs,18. Other Expenses,POSTAGE AND COURIER,27 - Other Expenses
779000,02. Total Overhead Costs,18. Other Expenses,Bank Charges Other Than Inte,27 - Other Expenses
779006,02. Total Overhead Costs,18. Other Expenses,BANK FEES,27 - Other Expenses
780000,02. Total Overhead Costs,18. Other Expenses,Regulated Costs,27 - Other Expenses
780010,02. Total Overhead Costs,18. Other Expenses,REGULATED COSTS,27 - Other Expenses
781000,02. Total Overhead Costs,18. Other Expenses,Employee Recreational Activi,27 - Other Expenses
782000,02. Total Overhead Costs,18. Other Expenses,Misc Admin Costs,27 - Other Expenses
782001,02. Total Overhead Costs,18. Other Expenses,Misc Admin Costs,NO IDENTIFICADO
782009,02. Total Overhead Costs,18. Other Expenses,M&R ALLOCATIONS,27 - Other Expenses
782010,02. Total Overhead Costs,18. Other Expenses,G & A ALLOCATIONS,27 - Other Expenses
782011,02. Total Overhead Costs,18. Other Expenses,G & A ALLOC DIVERSIFIED,27 - Other Expenses
782018,02. Total Overhead Costs,18. Other Expenses,ORGANIC ALLOCATIONS,27 - Other Expenses
782019,02. Total Overhead Costs,18. Other Expenses,PLANTAINS ALLOCATIONS,27 - Other Expenses
782020,02. Total Overhead Costs,18. Other Expenses,MISC DISCOUNTS,27 - Other Expenses
782021,02. Total Overhead Costs,18. Other Expenses,Other Overhead,27 - Other Expenses
782062,02. Total Overhead Costs,18. Other Expenses,FLIGHT PLAN AND COMM,27 - Other Expenses
782067,02. Total Overhead Costs,18. Other Expenses,PACKAGING MEETING EXPENSES,27 - Other Expenses
782075,02. Total Overhead Costs,18. Other Expenses,ALLOCATION EXPENSES,27 - Other Expenses
785000,02. Total Overhead Costs,18. Other Expenses,G & A Costs (CC18),27 - Other Expenses
785008,02. Total Overhead Costs,18. Other Expenses,TAXIS & OTHER TRANSPORT,27 - Other Expenses
785009,02. Total Overhead Costs,18. Other Expenses,TAXIS & OTHER TRANSPORT,02 - Other Employee Benefits & Costs
785015,02. Total Overhead Costs,18. Other Expenses,LEY PROTECCION AL TRABAJADOR,27 - Other Expenses
785020,02. Total Overhead Costs,18. Other Expenses,APARTMENT EXPENSES,27 - Other Expenses
785050,02. Total Overhead Costs,18. Other Expenses,ABSORPTION OF I/C EXP,NO IDENTIFICADO
785072,02. Total Overhead Costs,18. Other Expenses,WELL MONITORY 0201-101-0002,27 - Other Expenses
785073,02. Total Overhead Costs,18. Other Expenses,LICENSES,27 - Other Expenses
785075,02. Total Overhead Costs,18. Other Expenses,AGRICULTURAL TESTING,27 - Other Expenses
785087,02. Total Overhead Costs,18. Other Expenses,MISC ADMIN EXP-DBCP,27 - Other Expenses
785091,02. Total Overhead Costs,18. Other Expenses,Contingency research,27 - Other Expenses
785092,02. Total Overhead Costs,18. Other Expenses,Syngenta recovery,27 - Other Expenses
785093,02. Total Overhead Costs,18. Other Expenses,Packaging allocation,27 - Other Expenses
785094,02. Total Overhead Costs,18. Other Expenses,Allocation to DFFCO,27 - Other Expenses
